Transaction Date and Time,Transaction Amount,Cardholder Name,Merchant Name,Transaction Source,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,Previous Transactions,IP Address,Device Information,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,outlier_flag
25-01-2020,2742.64,Pranay Wagle,Kara PLC,Online,4084.0,Haldia,EUR,Visa,01-07-2028,3 or more,151.96.210.115,Mobile,,,,,,,,0
08-09-2020,4243.09,Ojas Kannan,Srinivas LLC,In-Person,7586.0,Khammam,USD,Visa,01-07-2031,2,188.110.217.201,Desktop,,,,,,,,0
16-08-2020,2638.17,Fateh Sachdev,Choudhary-Sama,Online,5975.0,Tirupati,INR,MasterCard,01-09-2032,1,26.84.27.40,Tablet,,,,,,,,0
18-05-2022,3728.69,Diya Bassi,Suri-Tiwari,In-Person,9670.0,Fatehpur,INR,American Express,01-04-2027,3 or more,113.14.82.152,Tablet,,,,,,,,0
17-10-2022,1820.87,Aradhya Saha,Sarma LLC,Online,7062.0,Jammu,INR,American Express,01-01-2027,,39.129.25.188,Tablet,,,,,,,,0
05-08-2023,4731.81,Divij Sathe,Apte and Sons,In-Person,5454.0,Ambarnath,USD,American Express,01-05-2033,3 or more,148.26.93.109,Mobile,,,,,,,,0
20-01-2022,1173.21,Aarush Venkataraman,"Kant, Gera and Jha",Online,4876.0,Kavali,INR,American Express,01-01-2026,1,207.253.94.187,Mobile,,,,,,,,0
02-08-2023,4281.93,Prerak Grover,"Luthra, Seth and Chatterjee",In-Person,9225.0,Bikaner,INR,Visa,01-06-2026,2,198.89.153.157,Desktop,,,,,,,,0
15-10-2020,505.44,Lakshay Bahri,Kapoor Ltd,In-Person,7350.0,Ramgarh,INR,MasterCard,01-02-2029,3 or more,208.30.197.15,Desktop,,,,,,,,0
24-07-2021,4697.8,Pihu Upadhyay,Bains LLC,In-Person,2898.0,Aizawl,INR,American Express,01-05-2026,3 or more,169.53.253.231,Mobile,,,,,,,,0
16-06-2020,1403.85,Pihu Datta,Sehgal-Sekhon,In-Person,1391.0,Saharsa,INR,Visa,01-12-2025,,102.228.238.68,Tablet,,,,,,,,0
01-01-2021,260.15,Seher Dara,Sridhar-Kale,In-Person,2916.0,Vellore,EUR,American Express,01-11-2024,3 or more,159.44.182.138,Tablet,,,,,,,,0
09-05-2022,95.71,Gokul Dhar,Hari LLC,Online,9502.0,Proddatur,EUR,Visa,01-12-2025,2,117.192.95.54,Tablet,,,,,,,,0
19-03-2021,794.48,Rania Shanker,Borra Inc,In-Person,8101.0,Rajahmundry,USD,Visa,01-08-2031,3 or more,51.158.218.222,Mobile,,,,,,,,0
01-12-2020,1070.18,Raghav Borde,Sarin-Tata,Online,4397.0,Vijayawada,EUR,MasterCard,01-09-2027,1,130.127.227.27,Tablet,,,,,,,,0
02-10-2023,410.11,Diya Dugar,Banik-Roy,In-Person,2132.0,Malda,EUR,Visa,01-05-2026,2,185.219.5.194,Tablet,,,,,,,,0
13-10-2020,1048.73,Nitara Bath,"Dixit, Seth and Ahluwalia",In-Person,7976.0,Patna,EUR,Visa,01-02-2031,3 or more,204.148.175.45,Mobile,,,,,,,,0
07-03-2022,3679.96,Aarna Tara,Boase Inc,In-Person,3539.0,Tiruvottiyur,USD,MasterCard,01-05-2031,1,86.162.119.243,Desktop,,,,,,,,0
02-07-2021,2916.19,Shlok Chakrabarti,Rajan-Bajwa,In-Person,7989.0,Danapur,EUR,MasterCard,01-09-2029,2,205.21.123.185,Tablet,,,,,,,,0
10-06-2022,2495.99,Vedika Borah,"Gaba, Borde and Randhawa",Online,5427.0,Udupi,EUR,Visa,01-11-2031,,50.203.195.121,Mobile,,,,,,,,0
01-08-2020,2354.32,Zeeshan Ramaswamy,Basu-Shan,Online,8715.0,Nadiad,USD,American Express,01-05-2032,,111.254.132.65,Mobile,,,,,,,,0
04-01-2023,2876.25,Ivan Ramanathan,"Raval, Bansal and Rama",Online,3055.0,Sirsa,EUR,American Express,01-04-2033,,53.197.24.66,Mobile,,,,,,,,0
27-03-2021,1524.11,Anaya Talwar,Basak PLC,Online,5721.0,Warangal,USD,American Express,01-09-2032,3 or more,85.206.154.101,Mobile,,,,,,,,0
14-11-2022,1107.41,Arhaan Subramanian,"Sachdev, Deshmukh and Trivedi",In-Person,2696.0,Ajmer,USD,Visa,01-09-2029,,204.137.53.4,Tablet,,,,,,,,0
07-05-2020,3966.11,Miraya Jain,Dhar-Chandran,In-Person,8832.0,Malda,INR,Visa,01-12-2030,2,198.213.118.6,Mobile,,,,,,,,0
15-03-2021,3853.02,Amira Swamy,"Uppal, Konda and Dixit",Online,3698.0,Kollam,USD,MasterCard,01-10-2026,1,202.64.98.194,Mobile,,,,,,,,0
18-06-2022,385.26,Ojas Bath,Dhawan-Bawa,In-Person,2241.0,Nizamabad,EUR,MasterCard,01-05-2025,1,215.213.16.69,Desktop,,,,,,,,0
03-11-2022,3.21,Adira Sheth,Kuruvilla-Bhavsar,Online,1350.0,Yamunanagar,INR,Visa,01-12-2030,,147.9.45.70,Tablet,,,,,,,,0
06-06-2020,283.9,Drishya Gola,Mallick-Varma,In-Person,1472.0,Anantapuram,EUR,American Express,01-03-2027,3 or more,35.243.36.124,Desktop,,,,,,,,0
05-09-2021,3600.98,Miraya Kara,"Datta, Karpe and Contractor",In-Person,3893.0,Jalna,INR,MasterCard,01-03-2029,1,210.191.99.71,Tablet,,,,,,,,0
02-10-2023,751.58,Yakshit Chokshi,"Mann, Vyas and Chahal",In-Person,2823.0,Allahabad,INR,Visa,01-07-2025,1,144.157.207.118,Mobile,,,,,,,,0
27-06-2020,4872.28,Yuvraj  Lall,"Sanghvi, Keer and Mane",Online,7613.0,Junagadh,USD,American Express,01-02-2028,,117.201.165.60,Mobile,,,,,,,,0
16-06-2021,2193.0,Dishani Shankar,Varghese LLC,Online,9769.0,Hajipur,USD,Visa,01-10-2032,3 or more,87.147.134.10,Tablet,,,,,,,,0
21-03-2022,3767.38,Kismat Choudhry,Sen-Thaman,In-Person,7565.0,Kozhikode,INR,Visa,01-11-2023,,131.103.251.246,Mobile,,,,,,,,0
15-01-2021,1242.19,Ayesha Edwin,Bawa-Mall,Online,3870.0,Gudivada,INR,MasterCard,01-02-2030,1,215.50.213.150,Tablet,,,,,,,,0
03-10-2020,3038.61,Alia Singhal,"Chaudry, Iyengar and Sehgal",In-Person,3673.0,Loni,EUR,MasterCard,01-08-2024,2,114.14.120.20,Desktop,,,,,,,,0
26-06-2023,4949.85,Ishita Chowdhury,Ben-Bedi,In-Person,2152.0,Mumbai,EUR,Visa,01-05-2032,,105.128.3.80,Mobile,,,,,,,,0
11-06-2022,2895.0,Yasmin Ray,Yadav Ltd,Online,4271.0,Uluberia,USD,MasterCard,01-01-2025,2,102.205.87.49,Desktop,,,,,,,,0
04-07-2023,3389.82,Ivan Kulkarni,"Kapadia, Tella and Gupta",Online,4716.0,Bardhaman,USD,American Express,01-12-2024,2,183.44.155.5,Tablet,,,,,,,,0
06-07-2021,3383.46,Nayantara Krishnamurthy,"Lala, Roy and Mani",Online,6579.0,Jabalpur,USD,Visa,01-01-2027,2,206.71.120.38,Mobile,,,,,,,,0
17-04-2020,4832.8,Riya Tiwari,Balay PLC,In-Person,1126.0,Kurnool,INR,American Express,01-05-2026,2,215.93.244.240,Desktop,,,,,,,,0
01-09-2020,4665.09,Baiju Dyal,Tiwari-Andra,In-Person,4427.0,Jamshedpur,EUR,American Express,01-11-2029,2,18.179.150.22,Tablet,,,,,,,,0
27-05-2020,4155.53,Suhana Sampath,Gala PLC,In-Person,9646.0,Ahmedabad,INR,American Express,01-05-2029,3 or more,184.97.145.135,Mobile,,,,,,,,0
30-03-2021,893.69,Vardaniya Arora,Sridhar Ltd,Online,8048.0,Ramagundam,USD,American Express,01-03-2024,2,63.181.96.21,Tablet,,,,,,,,0
08-02-2023,3293.85,Vivaan Bhatti,"Vig, Malhotra and Chanda",Online,6611.0,Korba,EUR,MasterCard,01-05-2026,3 or more,80.239.10.54,Tablet,,,,,,,,0
22-02-2021,1800.05,Renee Sankar,Deshmukh Inc,In-Person,8840.0,Kavali,INR,Visa,01-07-2026,1,203.219.186.234,Desktop,,,,,,,,0
01-01-2021,4323.54,Neysa Tella,Saha-Vig,Online,7511.0,Delhi,EUR,MasterCard,01-08-2031,2,216.236.47.201,Mobile,,,,,,,,0
31-05-2022,4460.54,Aaryahi Bains,"Sathe, Dada and Aggarwal",Online,3226.0,Gwalior,EUR,Visa,01-06-2027,3 or more,45.16.214.234,Mobile,,,,,,,,0
28-08-2021,4374.58,Shlok Talwar,"Vasa, Swaminathan and Dutt",In-Person,4640.0,Dindigul,INR,American Express,01-09-2028,,173.141.231.223,Mobile,,,,,,,,0
03-07-2020,3145.41,Lavanya Jain,Dyal Inc,In-Person,1390.0,Aizawl,INR,American Express,01-01-2030,1,26.226.246.141,Desktop,,,,,,,,0
14-07-2020,1440.39,Nitya Mani,Kala-Keer,In-Person,9963.0,Coimbatore,INR,MasterCard,01-05-2031,3 or more,209.57.234.186,Desktop,,,,,,,,0
05-11-2020,2899.86,Lavanya Zachariah,"Dara, Dar and Kala",In-Person,4248.0,Hajipur,INR,Visa,01-11-2025,,218.127.84.143,Tablet,,,,,,,,0
10-06-2023,484.94,Hrishita Ratti,"Sundaram, Magar and Mahajan",In-Person,8962.0,Alappuzha,INR,MasterCard,01-02-2032,,138.137.254.180,Desktop,,,,,,,,0
01-02-2023,2409.08,Shlok Bajaj,Dutt-Balan,In-Person,3307.0,Hazaribagh,USD,American Express,01-11-2025,,208.59.143.122,Desktop,,,,,,,,0
27-01-2023,4485.91,Anahi Karpe,Uppal-Randhawa,Online,2438.0,Jalgaon,EUR,Visa,01-03-2028,1,209.114.195.77,Desktop,,,,,,,,0
14-06-2022,287.4,Pranay Bhakta,"Datta, Kumar and Karpe",In-Person,3897.0,Chandigarh,INR,MasterCard,01-05-2029,1,170.144.235.128,Desktop,,,,,,,,0
17-01-2020,4710.54,Hrishita Bhandari,Rege PLC,Online,9932.0,Bihar Sharif,EUR,Visa,01-07-2030,2,211.113.195.134,Mobile,,,,,,,,0
11-10-2020,2487.47,Amani Kashyap,"Venkatesh, Ravel and Verma",Online,2633.0,Unnao,INR,American Express,01-12-2029,1,95.117.36.150,Mobile,,,,,,,,0
05-09-2021,4673.57,Nitya Ahluwalia,Sagar-Sen,In-Person,5774.0,Rajahmundry,EUR,Visa,01-04-2026,1,67.89.0.6,Tablet,,,,,,,,0
07-02-2020,121.93,Onkar Khosla,"Mahajan, Yadav and Bhakta",Online,7722.0,Nellore,USD,MasterCard,01-11-2032,,40.185.185.216,Desktop,,,,,,,,0
08-01-2023,3989.89,Kiara Gulati,"Sastry, Gala and Gopal",Online,6328.0,Buxar,INR,Visa,01-09-2025,2,78.46.225.54,Tablet,,,,,,,,0
06-05-2020,2869.18,Jivika Garg,Bora-Kadakia,In-Person,7112.0,Kamarhati,EUR,Visa,01-11-2023,3 or more,9.175.248.102,Tablet,,,,,,,,0
09-09-2022,1055.96,Tanya Basu,Lanka Inc,In-Person,1800.0,Mirzapur,USD,American Express,01-01-2027,2,7.171.176.225,Desktop,,,,,,,,0
17-06-2023,4101.53,Ishita Ramakrishnan,"Bhavsar, Kale and Yogi",In-Person,9581.0,Thane,EUR,Visa,01-01-2031,2,203.189.186.21,Desktop,,,,,,,,0
09-04-2022,2507.57,Hrishita Shankar,"Shroff, Sarna and Khurana",Online,9772.0,Ujjain,EUR,Visa,01-08-2026,3 or more,85.68.231.31,Mobile,,,,,,,,0
22-06-2021,3396.51,Tiya Dugar,Balay-Gala,In-Person,3670.0,Raichur,INR,American Express,01-09-2029,1,198.105.195.101,Mobile,,,,,,,,0
18-10-2021,65.75,Shayak Dhar,Madan-Sem,In-Person,3835.0,Bikaner,INR,MasterCard,01-12-2031,,28.243.219.199,Desktop,,,,,,,,0
10-06-2022,4311.34,Khushi Kara,Kumar-Talwar,Online,8052.0,Bhiwani,EUR,MasterCard,01-05-2029,2,156.61.167.126,Tablet,,,,,,,,0
19-05-2020,4987.48,Ritvik Iyengar,"Bumb, Sangha and Konda",Online,7634.0,Chittoor,USD,Visa,01-11-2029,2,202.121.77.205,Desktop,,,,,,,,0
28-08-2021,4976.4,Shamik Bahri,Deshmukh PLC,Online,9114.0,Mangalore,INR,MasterCard,01-07-2024,,4.222.239.78,Tablet,,,,,,,,0
05-06-2023,2688.69,Abram Sibal,"Saini, Bhasin and Bath",In-Person,9318.0,Kozhikode,USD,MasterCard,01-08-2025,1,221.29.141.124,Desktop,,,,,,,,0
23-06-2022,3490.06,Alisha Sathe,"Sura, Hari and Sheth",Online,4664.0,Bilaspur,INR,Visa,01-04-2032,,183.176.180.17,Desktop,,,,,,,,0
17-09-2022,4070.21,Anika Mangat,"Chaudhuri, Kala and Hayer",In-Person,9562.0,Alwar,USD,Visa,01-11-2028,1,221.225.133.200,Tablet,,,,,,,,0
26-01-2022,1847.05,Badal Kohli,Sangha Ltd,In-Person,8264.0,Pudukkottai,EUR,American Express,01-07-2030,,171.19.145.247,Tablet,,,,,,,,0
17-02-2020,2695.73,Kabir Ramachandran,Kala-Chand,Online,2040.0,Jaipur,USD,American Express,01-11-2030,2,209.213.77.9,Mobile,,,,,,,,0
02-06-2022,1714.48,Kabir Bhalla,"Setty, Seshadri and Dhingra",In-Person,2289.0,Raebareli,EUR,MasterCard,01-11-2023,,33.188.78.163,Desktop,,,,,,,,0
03-10-2022,83.55,Tushar Sehgal,Loke Ltd,In-Person,2461.0,Akola,EUR,MasterCard,01-04-2033,1,126.151.140.145,Mobile,,,,,,,,0
02-04-2021,469.71,Eshani Reddy,"Sarin, Shetty and Kalla",Online,4172.0,Shahjahanpur,INR,MasterCard,01-04-2028,,188.174.228.196,Tablet,,,,,,,,0
02-01-2022,2038.64,Ishita Varty,Sethi-Singh,In-Person,8480.0,Chinsurah,INR,American Express,01-08-2030,3 or more,214.254.204.113,Tablet,,,,,,,,0
05-07-2020,1153.39,Dishani Kothari,Gokhale-Rege,Online,8925.0,Ulhasnagar,EUR,MasterCard,01-01-2030,2,200.127.160.177,Desktop,,,,,,,,0
09-01-2022,275.43,Ehsaan Gill,"Gokhale, Sha and Sami",Online,3950.0,Rohtak,EUR,Visa,01-03-2030,3 or more,219.230.59.40,Mobile,,,,,,,,0
02-07-2020,4553.0,Indrans Mane,"Dugar, Dugal and Sarraf",In-Person,8008.0,Raebareli,INR,Visa,01-06-2030,1,210.245.151.38,Tablet,,,,,,,,0
24-02-2021,867.98,Gatik Talwar,"Subramanian, Wadhwa and Kaul",In-Person,9549.0,Berhampore,USD,Visa,01-04-2026,3 or more,4.57.71.41,Mobile,,,,,,,,0
05-10-2021,1974.74,Kartik Loyal,Viswanathan-Bajaj,In-Person,5273.0,Proddatur,INR,MasterCard,01-02-2033,3 or more,152.179.45.61,Mobile,,,,,,,,0
24-03-2021,3666.65,Eva Sidhu,Chopra-Bath,In-Person,6829.0,Jalgaon,EUR,American Express,01-09-2030,1,139.18.188.90,Desktop,,,,,,,,0
28-06-2021,276.36,Tiya Kakar,"Keer, Khatri and Bali",Online,6184.0,Tirunelveli,EUR,American Express,01-11-2028,3 or more,207.193.118.67,Desktop,,,,,,,,0
01-04-2021,197.17,Saksham Shenoy,Salvi-Edwin,In-Person,8119.0,Mangalore,USD,MasterCard,01-12-2024,3 or more,97.128.204.51,Desktop,,,,,,,,0
06-12-2020,2849.98,Pari Sant,"Krishnan, Vaidya and Desai",Online,1656.0,Akola,USD,Visa,01-09-2029,3 or more,110.109.219.251,Desktop,,,,,,,,0
22-02-2021,3130.74,Mohanlal Kumar,Ramaswamy PLC,In-Person,7025.0,Dhanbad,EUR,Visa,01-12-2024,3 or more,181.81.167.164,Mobile,,,,,,,,0
02-10-2022,4111.0,Madhup Bansal,Mangat-Chauhan,In-Person,7236.0,Anantapuram,EUR,American Express,01-11-2029,1,128.246.233.169,Tablet,,,,,,,,0
08-08-2022,2047.57,Tejas Arora,Ratta-Lall,Online,1748.0,Bijapur,USD,Visa,01-02-2032,2,178.207.100.45,Mobile,,,,,,,,0
25-06-2023,1646.72,Divit Kala,Bakshi-Bhandari,Online,9047.0,Miryalaguda,EUR,American Express,01-02-2028,1,203.113.17.106,Tablet,,,,,,,,0
31-10-2022,3209.44,Anahi Dada,Kale PLC,Online,3675.0,South Dumdum,EUR,American Express,01-10-2030,,103.202.237.44,Desktop,,,,,,,,0
19-04-2021,4483.71,Ryan Bath,Gara-Mahajan,In-Person,2464.0,Delhi,USD,American Express,01-07-2024,,210.184.184.124,Desktop,,,,,,,,0
20-04-2021,2299.78,Saksham Hayer,"Bhat, Yogi and Sachdeva",In-Person,1012.0,Jamalpur,INR,American Express,01-08-2032,,60.156.178.183,Tablet,,,,,,,,0
22-10-2021,1623.5,Jayesh Borah,"Edwin, Hayre and Srivastava",In-Person,4662.0,Barasat,EUR,Visa,01-01-2025,3 or more,138.10.228.40,Tablet,,,,,,,,0
28-11-2022,2374.61,Vritika Brar,"Kumer, Gandhi and Dara",In-Person,2710.0,Baranagar,USD,American Express,01-10-2033,3 or more,67.29.154.38,Desktop,,,,,,,,0
05-01-2022,1321.08,Darshit Choudhry,Roy-Kohli,Online,4590.0,Nagpur,EUR,Visa,01-06-2026,1,142.191.51.179,Mobile,,,,,,,,0
14-12-2020,1176.1,Dishani Ahluwalia,Som Inc,Online,3639.0,Chennai,EUR,American Express,01-03-2030,3 or more,59.80.244.214,Mobile,,,,,,,,0
25-08-2021,2800.57,Lakshay Barad,Vala Group,Online,5418.0,Nellore,INR,Visa,01-12-2026,3 or more,156.40.87.93,Mobile,,,,,,,,0
05-12-2020,206.23,Advika Yohannan,Bassi Group,In-Person,6992.0,Haridwar,INR,MasterCard,01-03-2029,,171.19.189.161,Tablet,,,,,,,,0
17-03-2023,1405.77,Krish Vasa,Chhabra Inc,In-Person,6243.0,Guntur,USD,MasterCard,01-11-2030,2,55.24.207.5,Tablet,,,,,,,,0
08-10-2022,1369.94,Shamik Dyal,"Dhillon, Kakar and Dara",Online,6710.0,Dehradun,USD,Visa,01-09-2025,,213.93.244.181,Mobile,,,,,,,,0
09-06-2022,2395.32,Dharmajan Sharma,Barman-Chad,In-Person,2006.0,Sagar,USD,Visa,01-01-2032,1,42.234.2.140,Desktop,,,,,,,,0
10-01-2022,1726.17,Abram Zacharia,Vyas Ltd,Online,4375.0,Bhilai,USD,Visa,01-06-2029,3 or more,161.217.89.147,Desktop,,,,,,,,0
03-05-2020,2832.06,Baiju Ganesan,Badal LLC,Online,4348.0,Gaya,USD,MasterCard,01-07-2033,1,5.66.162.173,Mobile,,,,,,,,0
05-09-2020,3806.5,Kavya Khosla,Sridhar-Vora,In-Person,2920.0,Agra,INR,MasterCard,01-02-2029,2,206.189.166.83,Desktop,,,,,,,,0
15-03-2023,3728.95,Zeeshan Dhar,Dewan-Wali,Online,4249.0,Khammam,INR,American Express,01-01-2029,,117.46.29.220,Desktop,,,,,,,,0
22-12-2020,117.9,Sumer Raman,Bains Ltd,In-Person,8983.0,Morbi,USD,Visa,01-04-2025,,220.154.192.23,Desktop,,,,,,,,0
31-01-2021,4313.16,Pari Jain,Deo-Som,In-Person,2051.0,Jamnagar,USD,Visa,01-05-2024,3 or more,222.150.201.197,Desktop,,,,,,,,0
07-04-2020,3598.28,Jhanvi Bera,Dyal-Kashyap,Online,9036.0,Panipat,USD,MasterCard,01-06-2024,,5.241.125.118,Tablet,,,,,,,,0
27-10-2020,1145.04,Emir Bahl,"Agarwal, Banik and Loyal",Online,8748.0,Dindigul,EUR,Visa,01-01-2031,2,166.70.183.126,Desktop,,,,,,,,0
27-12-2021,2376.9,Saanvi Vyas,Zacharia LLC,Online,3925.0,Ludhiana,EUR,Visa,01-09-2029,3 or more,21.69.21.11,Mobile,,,,,,,,0
23-05-2023,4604.88,Samarth Anand,Dash-Subramanian,Online,4354.0,Thanjavur,INR,Visa,01-01-2029,,1.154.252.63,Desktop,,,,,,,,0
26-07-2021,2035.88,Ela Bose,"Gade, Chandra and Bera",In-Person,5309.0,Rajpur Sonarpur,EUR,American Express,01-01-2026,3 or more,199.168.64.105,Tablet,,,,,,,,0
23-09-2023,4843.0,Trisha Ghose,Iyer PLC,In-Person,2566.0,Jalandhar,INR,MasterCard,01-12-2023,2,97.183.169.99,Mobile,,,,,,,,0
26-04-2021,4920.95,Anahita Shah,"Wason, Seth and Sood",Online,7815.0,Katihar,EUR,MasterCard,01-12-2025,3 or more,218.251.7.177,Desktop,,,,,,,,0
04-02-2023,132.21,Dhanush Gala,"Bir, Chawla and Kala",Online,8769.0,Sambhal,INR,American Express,01-04-2025,,74.220.66.5,Mobile,,,,,,,,0
06-03-2020,1300.35,Vihaan Shan,"Dora, Wadhwa and Jaggi",In-Person,2510.0,Danapur,EUR,Visa,01-03-2033,2,198.134.25.41,Desktop,,,,,,,,0
19-05-2021,1521.27,Zara Shanker,Kadakia and Sons,In-Person,6545.0,Tadepalligudem,USD,MasterCard,01-03-2032,2,179.146.5.27,Desktop,,,,,,,,0
22-08-2020,377.6,Fateh Chowdhury,"Joshi, Salvi and Shanker",Online,1839.0,Howrah,USD,American Express,01-01-2029,,195.99.51.74,Mobile,,,,,,,,0
12-09-2021,1810.03,Misha Bhavsar,Krishnamurthy Ltd,Online,7885.0,Cuttack,EUR,Visa,01-03-2030,2,103.245.102.124,Tablet,,,,,,,,0
26-08-2021,3644.02,Piya Bala,Tara-Sachdev,Online,8240.0,Amroha,EUR,MasterCard,01-06-2033,,104.78.216.123,Mobile,,,,,,,,0
20-09-2020,2376.21,Umang Comar,Saraf Ltd,In-Person,2535.0,Orai,EUR,American Express,01-06-2032,,159.176.230.145,Mobile,,,,,,,,0
04-03-2020,2533.9,Anay Dube,"Cherian, Dewan and Agate",In-Person,3943.0,Mangalore,INR,MasterCard,01-08-2025,1,200.126.90.149,Mobile,,,,,,,,0
16-09-2021,503.38,Kavya Ahuja,Gaba-Wable,In-Person,2941.0,Gandhidham,USD,American Express,01-11-2025,2,214.205.40.207,Mobile,,,,,,,,0
25-04-2020,1256.09,Nirvaan Varma,"Bali, Sankaran and Devan",Online,6654.0,Vadodara,USD,MasterCard,01-06-2027,1,38.123.223.84,Desktop,,,,,,,,0
16-11-2021,3905.33,Neysa Bedi,Hegde Group,Online,6076.0,Kolkata,EUR,MasterCard,01-01-2031,2,5.21.57.178,Desktop,,,,,,,,0
19-05-2023,1413.82,Indrajit Sangha,"Rama, Brar and Babu",In-Person,9702.0,Bhatpara,INR,Visa,01-06-2031,2,161.49.215.103,Desktop,,,,,,,,0
25-02-2020,929.91,Nitara Bal,"Lalla, Chandra and Kibe",In-Person,7623.0,Ranchi,USD,MasterCard,01-06-2024,,204.178.46.43,Tablet,,,,,,,,0
27-08-2021,1569.37,Parinaaz Venkatesh,Bava Group,In-Person,5290.0,Jamshedpur,USD,American Express,01-09-2031,3 or more,194.208.169.249,Tablet,,,,,,,,0
30-11-2020,1878.33,Mahika Kunda,Madan-Sami,Online,3137.0,Dhule,USD,American Express,01-06-2029,3 or more,183.34.222.25,Tablet,,,,,,,,0
05-01-2023,1219.43,Tanya Handa,"Chauhan, Lalla and Rajagopalan",In-Person,5554.0,Karimnagar,USD,American Express,01-12-2028,3 or more,130.173.233.129,Mobile,,,,,,,,0
18-09-2020,4750.47,Uthkarsh Rout,Bawa-Bobal,In-Person,1858.0,Bhiwani,EUR,American Express,01-08-2026,2,198.222.230.250,Tablet,,,,,,,,0
04-10-2021,745.28,Miraan Bal,"Iyengar, Brar and Kumer",In-Person,8551.0,Shivpuri,INR,MasterCard,01-10-2029,1,218.231.191.191,Mobile,,,,,,,,0
13-10-2021,4343.74,Zain Rao,"Dugar, Saha and Walia",Online,7594.0,Karawal Nagar,INR,Visa,01-03-2026,3 or more,215.88.92.153,Tablet,,,,,,,,0
21-08-2021,2781.39,Trisha Dhingra,"Dewan, Sunder and Bava",In-Person,8510.0,Ambala,INR,American Express,01-01-2030,,139.112.238.172,Tablet,,,,,,,,0
04-06-2020,3602.35,Nirvaan Jayaraman,Vig-Kapur,In-Person,5853.0,Thoothukudi,USD,Visa,01-04-2024,1,122.53.128.156,Desktop,,,,,,,,0
24-05-2020,1768.25,Kashvi Sengupta,Saha-Joshi,Online,2945.0,Rajkot,INR,Visa,01-12-2031,1,136.7.238.238,Desktop,,,,,,,,0
07-02-2023,195.56,Tiya Chanda,"Badal, Kant and Kala",Online,6912.0,Malegaon,USD,Visa,01-12-2024,1,14.197.252.93,Mobile,,,,,,,,0
07-07-2022,4572.32,Shaan Vig,Hayer Group,In-Person,1213.0,Malda,EUR,American Express,01-08-2029,,135.205.177.248,Tablet,,,,,,,,0
07-07-2023,3518.01,Myra Wadhwa,"Arora, Cheema and Singhal",In-Person,4235.0,Gangtok,USD,American Express,01-05-2028,2,163.37.95.136,Tablet,,,,,,,,0
15-06-2021,4829.68,Neelofar Reddy,Kale LLC,Online,8070.0,Bhimavaram,USD,Visa,01-07-2026,3 or more,93.200.68.225,Desktop,,,,,,,,0
21-12-2022,3147.67,Eshani Ben,"Sarkar, Ramachandran and Bala",Online,7219.0,Mumbai,USD,MasterCard,01-09-2029,2,223.136.176.54,Mobile,,,,,,,,0
31-05-2023,3703.25,Kiara Setty,Tailor-Divan,Online,7103.0,Bharatpur,USD,MasterCard,01-05-2027,2,185.69.88.38,Mobile,,,,,,,,0
16-09-2022,4917.8,Aaina Rattan,"Chaudhuri, Sehgal and Dey",In-Person,3989.0,Tirupati,INR,American Express,01-10-2027,1,96.138.254.197,Desktop,,,,,,,,0
27-06-2022,4890.8,Miraya Mander,Samra Inc,Online,2755.0,Nandyal,EUR,American Express,01-03-2027,2,218.180.42.89,Desktop,,,,,,,,0
02-08-2020,3270.95,Mamooty Keer,Bandi-Bhatti,Online,2923.0,Tinsukia,EUR,American Express,01-11-2024,2,15.71.90.196,Mobile,,,,,,,,0
28-07-2022,4532.35,Anahi Mani,Sant-Bajaj,In-Person,8515.0,Imphal,EUR,American Express,01-05-2031,1,104.10.243.125,Tablet,,,,,,,,0
06-03-2023,44.22,Inaaya  Swaminathan,Gera and Sons,Online,8476.0,Cuttack,USD,Visa,01-02-2024,2,217.214.43.142,Mobile,,,,,,,,0
21-10-2022,254.16,Samar Bhandari,Ranganathan-Varughese,Online,5931.0,Jalgaon,USD,American Express,01-04-2031,2,160.53.155.14,Mobile,,,,,,,,0
30-07-2021,2637.81,Darshit Kala,Verma Inc,In-Person,9539.0,Cuttack,INR,MasterCard,01-01-2033,,162.84.2.229,Mobile,,,,,,,,0
07-02-2021,917.24,Kashvi Aurora,"Rege, Karpe and Dayal",Online,5484.0,Sri Ganganagar,EUR,Visa,01-05-2030,2,54.89.31.232,Tablet,,,,,,,,0
11-03-2021,957.29,Tiya Jha,Goel-Brahmbhatt,In-Person,7407.0,Kolhapur,INR,MasterCard,01-01-2030,1,193.76.110.49,Desktop,,,,,,,,0
01-02-2020,1111.26,Bhamini Kibe,Mannan-Verma,Online,6401.0,Sonipat,INR,American Express,01-03-2031,2,140.202.227.71,Desktop,,,,,,,,0
25-03-2020,3136.61,Zoya Mani,Shetty Inc,In-Person,6843.0,Dibrugarh,EUR,MasterCard,01-04-2028,2,146.200.224.132,Tablet,,,,,,,,0
21-08-2021,2628.52,Taimur Garg,"Viswanathan, Chandran and Ravi",Online,2789.0,Bathinda,INR,Visa,01-05-2032,3 or more,182.99.127.216,Desktop,,,,,,,,0
27-01-2021,4004.43,Raghav Bhakta,"Buch, Kar and Gokhale",In-Person,6191.0,Pali,EUR,Visa,01-03-2027,,222.220.103.34,Mobile,,,,,,,,0
